time,close_XMRUSD,volume_XMRUSD,close_BTCUSD,volume_BTCUSD
2017-11-10 06:10:00,129.12498,64.67699999999999,7173.61,4.652509
2017-11-10 06:20:00,128.36041074,325.724,7162.17,13.575879
2017-11-10 06:30:00,119.488667,47.513000000000005,7155.01,3.3641259999999997
2017-11-10 06:40:00,122.06,175.85899999999998,7180.0,7.483938
2017-11-10 06:50:00,116.59504566,78.606,7179.94,7.17811
2017-11-10 07:00:00,116.49625,127.65100000000001,7169.0,5.106422
2017-11-10 07:10:00,116.5644744,97.053,7159.98,6.132236
2017-11-10 07:20:00,117.78310311000001,66.95400000000001,7150.07,32.655817000000006
2017-11-10 07:30:00,117.8689834,87.083,7158.76,4.058318
2017-11-10 07:40:00,116.71115719999999,16.406,7168.99,6.794072999999999
2017-11-10 07:50:00,116.3886504,5.209,7149.18,14.069025
2017-11-10 08:00:00,116.0954476,48.902,7131.17,19.053624
2017-11-10 08:10:00,116.08743744,1.967,7130.24,40.193782999999996
2017-11-10 08:20:00,116.06708619,2.131,7128.99,30.624423999999998
2017-11-10 08:30:00,116.25445692000001,2.249,7140.06,11.817641
2017-11-10 08:40:00,116.4039104,16.3,7148.8,17.358674999999998
2017-11-10 08:50:00,116.45051439999999,12.173,7152.98,12.32053
2017-11-10 09:00:00,117.87610352,1.273,7174.88,12.66274
2017-11-10 09:10:00,116.95233699999999,4.641,7174.99,8.740328
2017-11-10 09:20:00,117.76226418000002,66.289,7165.77,15.348072
2017-11-10 09:30:00,116.81767809000002,190.827,7127.81,22.890239
2017-11-10 09:40:00,116.682865,153.577,7085.0,18.779689
2017-11-10 09:50:00,116.27097531,94.129,7059.99,34.846876
2017-11-10 10:00:00,117.7404,73.678,7080.0,35.863355
2017-11-10 10:10:00,117.5201862,66.203,7071.01,7.567953
2017-11-10 10:20:00,117.63242103,104.54100000000001,7085.01,4.616401
2017-11-10 10:30:00,117.01830833,65.70400000000001,7053.97,15.226337
2017-11-10 10:40:00,116.0657424,23.882,7059.96,18.631402
2017-11-10 10:50:00,116.976482,57.437,7054.0,6.232394
2017-11-10 11:00:00,115.41014757,20.087,7049.67,10.682417000000001
2017-11-10 11:10:00,115.63513998,32.809,6983.22,23.838627000000002
